LPM,hierarchical-complete
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(A_FINALIZED | O_CREATED)(A_ACCEPTED | O_SELECTED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(A_ACCEPTED | A_FINALIZED)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(A_FINALIZED | O_CREATED)(W_Afhandelen leads | A_FINALIZED),9
(W_Valideren aanvraag | A_FINALIZED)(W_Nabellen incomplete dossiers | A_ACCEPTED)(W_Valideren aanvraag | W_Nabellen incomplete dossiers),9
(W_Valideren aanvraag | A_FINALIZED)(W_Valideren aanvraag | W_Nabellen incomplete dossiers),9
(A_FINALIZED | O_SENT)(W_Valideren aanvraag | A_FINALIZED),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | O_CREATED)(A_ACCEPTED | O_SENT)(O_CREATED | O_SENT),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(W_Nabellen incomplete dossiers | A_ACCEPTED)(W_Nabellen incomplete dossiers | W_Valideren aanvraag),9
(W_Valideren aanvraag | A_ACCEPTED)(A_FINALIZED | O_SELECTED)(O_SELECTED | O_SENT)(A_ACCEPTED | O_SELECTED),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(A_FINALIZED | O_CREATED)(A_ACCEPTED | O_SELECTED),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | O_CREATED)(A_ACCEPTED | A_FINALIZED)(A_FINALIZED | O_SELECTED),9
(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(A_FINALIZED | O_CREATED)(O_SELECTED | O_SENT)(O_SENT | W_Afhandelen leads),9
(A_FINALIZED | O_SENT)(O_SELECTED | O_CREATED)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(O_SENT | W_Afhandelen leads),9
(W_Afhandelen leads | A_DECLINED)(A_CANCELLED | W_Afhandelen leads),9
(A_ACCEPTED | A_FINALIZED)(W_Nabellen incomplete dossiers | O_CREATED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(O_SELECTED | O_CREATED)(A_CANCELLED | A_ACCEPTED)(A_ACCEPTED | O_SELECTED),9
(A_CANCELLED | A_ACCEPTED)(A_ACCEPTED | O_SELECTED),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(W_Nabellen incomplete dossiers | W_Valideren aanvraag),9
(O_CREATED | O_SENT)(O_SELECTED | O_SENT)(W_Nabellen incomplete dossiers | O_CREATED),9
(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(A_FINALIZED | O_CREATED)(O_SENT | W_Afhandelen leads),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(O_SELECTED | O_SENT),9
(O_SELECTED | O_CREATED)(A_ACCEPTED | A_FINALIZED)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(A_FINALIZED | O_CREATED)(W_Afhandelen leads | A_FINALIZED),9
(W_Valideren aanvraag | A_ACCEPTED)(O_CREATED | O_SENT)(A_FINALIZED | O_CREATED)(O_SELECTED | O_SENT)(A_ACCEPTED | O_SELECTED),9
(A_FINALIZED | O_SENT)(O_SELECTED | O_CREATED)(W_Valideren aanvraag | A_ACCEPTED)(O_CREATED | O_SENT)(A_ACCEPTED | O_SELECTED),9
(O_SELECTED | O_CREATED)(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | O_SENT)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | O_CREATED)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED)(O_SELECTED | O_SENT),9
(O_SELECTED | O_CREATED)(O_SELECTED | O_SENT),4
(O_CREATED | O_SENT)(W_Nabellen incomplete dossiers | O_CREATED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(O_SELECTED | O_CREATED)(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(A_ACCEPTED | O_SELECTED)(W_Nabellen incomplete dossiers | A_ACCEPTED)(W_Valideren aanvraag | W_Nabellen incomplete dossiers),9
(O_SELECTED | O_CREATED)(W_Valideren aanvraag | A_ACCEPTED)(O_CREATED | O_SENT)(A_FINALIZED | O_CREATED)(A_ACCEPTED | O_SELECTED),9
(O_SELECTED | O_CREATED)(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | O_CREATED)(O_CREATED | O_SENT)(A_FINALIZED | O_SELECTED),9
(O_SELECTED | O_CREATED)(O_CREATED | O_SENT)(W_Nabellen incomplete dossiers | O_CREATED),9
(A_CANCELLED | W_Afhandelen leads)(A_CANCELLED | O_CANCELLED),9
(A_PREACCEPTED | A_ACCEPTED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(A_FINALIZED | O_SENT)(W_Valideren aanvraag | A_FINALIZED)(O_SELECTED | O_SENT),9
(O_SELECTED | O_CREATED)(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(A_FINALIZED | O_CREATED)(A_ACCEPTED | O_SELECTED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(A_FINALIZED | A_DECLINED)(W_Afhandelen leads | A_DECLINED)(O_CREATED | O_SENT)(O_SENT | W_Afhandelen leads),9
(O_SELECTED | O_CREATED)(A_ACCEPTED | O_CREATED)(O_CREATED | O_SENT)(A_ACCEPTED | O_SELECTED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(A_DECLINED | O_CANCELLED)(W_Afhandelen leads | A_DECLINED),9
(A_ACCEPTED | O_CREATED)(A_ACCEPTED | A_FINALIZED)(A_CANCELLED | A_ACCEPTED),9
(A_PREACCEPTED | A_FINALIZED)(A_PREACCEPTED | A_ACCEPTED)(A_FINALIZED | O_SELECTED),9
(A_ACCEPTED | O_CREATED)(O_CREATED | O_SENT)(A_ACCEPTED | O_SELECTED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(W_Afhandelen leads | A_DECLINED)(O_SELECTED | O_SENT)(O_SENT | A_DECLINED)(O_SENT | W_Afhandelen leads),9
(O_CREATED | O_SENT)(O_SENT | A_FINALIZED)(O_CREATED | A_ACCEPTED),9
(W_Valideren aanvraag | A_ACCEPTED)(W_Nabellen incomplete dossiers | O_CREATED)(W_Valideren aanvraag | W_Nabellen incomplete dossiers),9
(A_ACCEPTED | A_FINALIZED)(O_SENT | A_FINALIZED)(O_CREATED | A_ACCEPTED),9
(O_CREATED | A_ACCEPTED)(A_ACCEPTED | O_SELECTED),9
(O_SELECTED | O_CREATED)(A_ACCEPTED | A_FINALIZED)(O_CREATED | O_SENT)(A_ACCEPTED | O_SELECTED)(W_Nabellen incomplete dossiers | A_ACCEPTED),9
(A_DECLINED | A_FINALIZED)(A_FINALIZED | O_CREATED)(W_Afhandelen leads | A_FINALIZED),9
(W_Valideren aanvraag | A_ACCEPTED)(A_ACCEPTED | A_FINALIZED)(A_FINALIZED | O_CREATED)(O_SELECTED | O_SENT)(A_ACCEPTED | O_SELECTED),9
