ID	Trace Variant (tv) Count	Activities Count	tv Sum	tv Min Size	tv Max Size	tv Average Size	tv Median Size
96538696-3a9a-406c-8458-2ea6ba7d60c9	2	7	45	20	25	22	22
ab6ce19d-151e-44b7-b81a-cda800cffaea	2	7	45	20	25	22	22
5be4eff2-b09f-4132-a204-fbad753a0651	choice-2-variants-7-activities	2	7	45	22	7	57	55
2b7d222d-183f-4c88-b32a-6b828fe77e82	choice-2-variants-7-activities	2	7	45	22	7	57	55
5e6175f3-0fe2-4809-9d5a-e513f266ec3d	choice-2-variants-7-activities	2	7	45	22	7	57	55
021b1b5a-8d32-47cd-b456-c24c6c675c75	choice-2-variants-7-activities	2	7	45	22	7	57	55
4048b458-1d61-4632-9137-0b05068d338e	choice-2-variants-7-activities	2	7	45	22	7	57	55
51d309db-44e8-4116-ac7a-8cb6f0c2bb58	choice-2-variants-7-activities	2	7	45	22	7	57	55
225892a8-d21a-416f-8769-fc661e185985	ArtificialBig	96	11	1432	14	5	1866	192
51a170a7-6f02-47e9-890a-9eb815695513	choice-2-variants-7-activities	2	7	45	22	5	53	48
2b90ab02-ec9d-4294-8aef-cda0625d10b7	choice-2-variants-7-activities	2	7	45	22	5	53	48
7642d6fb-39cc-4cd6-8257-a1af991552a4	choice-2-variants-7-activities	2	7	45	22	5	53	48
4ca873e1-8416-4d83-8d44-8b990b22863f	choice-2-variants-7-activities	2	7	45	22	5	53	48
1aa406c2-c373-4abd-b089-8ae3c8132a35	choice-2-variants-7-activities	2	7	45	22	7	57	55
661bb7a8-757c-410d-9fe8-767bd37b3044	choice-2-variants-7-activities	2	7	45	22	10	63	61
29224181-7734-47c3-8686-67802e7c9f8f	choice-2-variants-7-activities	2	7	45	22	12	67	65
ee3cfb13-36ad-47c3-8735-c0d6443bf8d1	choice-2-variants-7-activities	2	7	45	22	15	73	71
89391429-d43a-4cce-bc8d-b9d10da6377a	choice-2-variants-7-activities	2	7	45	22	20	83	81
3731e7c8-cc0d-41f0-b514-44b3d6a94178	choice-2-variants-7-activities	2	7	45	22	25	88	86
460bec9a-5061-4c71-bf25-7860ab27e528	choice-2-variants-7-activities	2	7	45	22	30	88	86
82c61024-1990-43ed-8e44-17c12f6f3d2c	choice-2-variants-7-activities	2	7	45	22	50	88	86
de7c9aa4-81b5-4c7b-b53a-b166e8183260	choice-2-variants-7-activities	2	7	45	22	100	88	86
d31d39c5-8c53-443a-9456-1f2f83eff4b3	choice-2-variants-7-activities	2	7	45	22	5	53	48
ebf43a69-922f-46c8-9337-af004fba7b69	choice-2-variants-7-activities	2	7	45	22	7	57	55
16a7a413-4fad-4cd4-8165-b157270e59a2	choice-2-variants-7-activities	2	7	45	22	10	63	61
7ba6ebea-3d74-4765-9290-4f7001331851	choice-2-variants-7-activities	2	7	45	22	12	67	65
77fa4f21-6d67-4bd9-9e73-5fee2ea52591	choice-2-variants-7-activities	2	7	45	22	15	73	71
569ce37e-aef7-4512-a17a-7f80e00930cc	choice-2-variants-7-activities	2	7	45	22	20	83	81
cfb32610-753b-4b9d-aaf3-d99e519307aa	choice-2-variants-7-activities	2	7	45	22	25	88	86
b7786976-567e-4bde-af53-d6059d10826b	choice-2-variants-7-activities	2	7	45	22	30	88	86
6ee1cc4b-ad12-4672-8728-f4e9e8c8ef99	choice-2-variants-7-activities	2	7	45	22	50	88	86
c5a73c4f-ec9d-466c-9fa3-3bc97a1b5043	choice-2-variants-7-activities	2	7	45	22	5	53	48
fbc8817b-36cc-49e0-be04-e55504ae255d	choice-2-variants-7-activities	2	7	45	22	7	57	55
a726807a-305d-4189-84aa-4efeac15dc7d	choice-2-variants-7-activities	2	7	45	22	10	63	61
d760a5e2-a4a0-4698-9c17-90ac5725b2ab	choice-2-variants-7-activities	2	7	45	22	12	67	65
d848f157-63a3-4b2f-a6c4-2090c1bb264d	choice-2-variants-7-activities	2	7	45	22	15	73	71
845ac9f4-9998-4f35-af65-38cd85b9fdad	choice-2-variants-7-activities	2	7	45	22	20	83	81
e4f1b264-74cd-4f02-95dd-db3368477e74	choice-2-variants-7-activities	2	7	45	22	25	88	86
4069bb5c-493a-44cc-ac12-5df84abaf83e	choice-2-variants-7-activities	2	7	45	22	30	88	86
b7b365db-e53d-4964-b693-1ad0c9fc0d87	choice-2-variants-7-activities	2	7	45	22	50	88	86
63582617-4b84-4b44-aa7e-7cfbfbb83c64	choice-2-variants-7-activities	2	7	45	22	100	88	86
bde5a449-711b-4a6e-a23a-ea067baf073a	choice-2-variants-7-activities	2	7	45	22	5	53	48
9069287c-a000-415d-b3f3-1019e6dc3dac	choice-2-variants-7-activities	2	7	45	22	7	57	55
c21e0047-5e9b-4628-a75a-63a52c8c50db	choice-2-variants-7-activities	2	7	45	22	10	63	61
b304a6ba-012d-4e16-99ab-3e2a9aec6872	choice-2-variants-7-activities	2	7	45	22	12	67	65
0c993810-ff92-43e4-88b4-feb8a05882e8	choice-2-variants-7-activities	2	7	45	22	15	73	71
1cb26898-d7d2-48d5-98f5-aeccfddf951b	choice-2-variants-7-activities	2	7	45	22	20	83	81
d36f0843-e7c4-477b-a47c-e8de2d1c7656	choice-2-variants-7-activities	2	7	45	22	25	88	86
1ee8a9ea-fe4c-483d-95df-ded28d3110bc	choice-2-variants-7-activities	2	7	45	22	30	88	86
63d1c074-4289-4362-8b28-160f85725997	choice-2-variants-7-activities	2	7	45	22	50	88	86
072189c8-6ba7-4489-9500-10ab3005e872	choice-2-variants-7-activities	2	7	45	22	100	88	86
1fbe6bc7-a6c7-484d-ae7f-a775c188fecb	choice-2-variants-7-activities	2	7	45	22	5	53	48
ece9b401-d5c9-40ee-8927-353fb4918124	choice-2-variants-7-activities	2	7	45	22	7	57	55
bdd3b8a5-79a4-4b06-8d6e-83cab4543793	choice-2-variants-7-activities	2	7	45	22	10	63	61
a82fcedd-6296-4f0c-9b08-ae67753afeb4	choice-2-variants-7-activities	2	7	45	22	12	67	65
1d81c695-1d23-4529-b456-05dd3886c47e	choice-2-variants-7-activities	2	7	45	22	15	73	71
55650cee-c77b-41d0-a595-9a3ad0b6dc0a	choice-2-variants-7-activities	2	7	45	22	20	83	81
d03e2f98-925f-4f36-9036-15df2096dda5	choice-2-variants-7-activities	2	7	45	22	25	88	86
dbcce1b2-921c-43af-a5df-7d3bd2145785	choice-2-variants-7-activities	2	7	45	22	30	88	86
dcd4137e-3e14-468d-8536-fd109a818fd2	choice-2-variants-7-activities	2	7	45	22	50	88	86
f88c843b-d22c-4660-a7fb-0658c21e0b08	choice-2-variants-7-activities	2	7	45	22	100	88	86
61f63354-ca35-4b5d-8bae-03bb69f50ebf	choice-2-variants-7-activities	2	7	45	22	5	53	48
3eceee60-609c-4dda-a2db-817db33a5cb0	choice-2-variants-7-activities	2	7	45	22	7	57	55
312e0913-f188-4859-9582-f29b85bb8b26	choice-2-variants-7-activities	2	7	45	22	10	63	61
766e91a7-17e2-4196-93d4-7acaa7aaa6f5	choice-2-variants-7-activities	2	7	45	22	12	67	65
f2c846b4-1244-4777-aa0e-c6a7776f0980	choice-2-variants-7-activities	2	7	45	22	15	73	71
f5a933d9-e754-4006-a9f0-9080f3af69a5	choice-2-variants-7-activities	2	7	45	22	20	83	81
9e7fb6d9-1ae0-45a9-8c02-9b1dd42be31a	choice-2-variants-7-activities	2	7	45	22	25	88	86
78b4e6a2-4ac6-46df-a4a5-19d40aa31313	choice-2-variants-7-activities	2	7	45	22	30	88	86
81ee513a-f8fc-4fcc-9ac3-0fab25c8d1cc	choice-2-variants-7-activities	2	7	45	22	50	88	86
6c66faba-ca11-4d52-9d23-995df23295f0	choice-2-variants-7-activities	2	7	45	22	100	88	86
a699ad12-370e-43ef-8d54-b30a6e07c189	choice-2-variants-7-activities	2	7	45	22	5	53	48
cd9e9a48-2bb6-4727-9951-6f776930c0ed	choice-2-variants-7-activities	2	7	45	22	7	57	55
d56eb610-5895-4d25-bea6-3ab1d20afb04	choice-2-variants-7-activities	2	7	45	22	10	63	61
57786f61-917b-488e-937c-c86605ffd273	choice-2-variants-7-activities	2	7	45	22	12	67	65
18ca51e6-7521-4372-8073-69679e93b965	choice-2-variants-7-activities	2	7	45	22	15	73	71
3916dea9-a3be-4ba2-bcff-c83de522f3ac	choice-2-variants-7-activities	2	7	45	22	20	83	81
ecb836aa-eb98-4b04-820e-17b946851d9c	choice-2-variants-7-activities	2	7	45	22	25	88	86
2a2a266c-282d-4e9a-936c-a0dd8d92f86c	choice-2-variants-7-activities	2	7	45	22	30	88	86
b74bf449-6d38-4203-a96d-330e29c32169	choice-2-variants-7-activities	2	7	45	22	50	88	86
c77a01ca-e5ce-4223-85e1-89b919ce03fa	choice-2-variants-7-activities	2	7	45	22	100	88	86
03324868-1129-49b2-a28a-d6b2c998446c	choice-2-variants-7-activities	2	7	45	22	5	53	48
f553ad97-6544-4d10-a4da-9f10aefafe11	choice-2-variants-7-activities	2	7	45	22	7	57	55
97db1c39-63f0-400a-8c8d-3dc55f385e8e	choice-2-variants-7-activities	2	7	45	22	10	63	61
0d027c3a-055b-4527-af03-de5b3e1cee41	choice-2-variants-7-activities	2	7	45	22	12	67	65
51fc588a-a3cb-4f9a-abdb-ce008e897d23	choice-2-variants-7-activities	2	7	45	22	15	73	71
c2ce7055-ad6b-404f-913d-db240b030b6e	choice-2-variants-7-activities	2	7	45	22	20	83	81
29fdfbf8-51f2-42af-b528-a66c9df5b009	choice-2-variants-7-activities	2	7	45	22	25	88	86
80028983-8c01-4899-958d-a3013f69dd7d	choice-2-variants-7-activities	2	7	45	22	30	88	86
c6e2abdc-c70d-4fff-a300-dfe6eb73bf23	choice-2-variants-7-activities	2	7	45	22	50	88	86
1f6eb320-552d-4b46-bc70-2df117ff14a3	choice-2-variants-7-activities	2	7	45	22	100	88	86
d98b2df4-5c00-4685-9efe-e99983e6b1b7	choice-2-variants-7-activities	2	7	45	22	5	53	48
3d0c2f09-7554-4f07-aa6c-824f409ea1c5	choice-2-variants-7-activities	2	7	45	22	7	57	55
a2a183f2-6d0e-4ff1-9949-2428c1d6bc88	choice-2-variants-7-activities	2	7	45	22	10	63	61
acc1d963-6413-4e88-90a8-d79eff03f81f	choice-2-variants-7-activities	2	7	45	22	12	67	65
a51c4dbd-62e1-468e-a4b6-604250aebf5a	choice-2-variants-7-activities	2	7	45	22	15	73	71
c2ed1c5c-7857-4a8a-90c0-9dee6b579e4e	choice-2-variants-7-activities	2	7	45	22	5	53	48
785a299a-ac49-4704-992c-168278762a05	choice-2-variants-7-activities	2	7	45	22	7	57	55
4870f481-120c-4061-86a9-125104da66f3	choice-2-variants-7-activities	2	7	45	22	10	63	61
4d5e7e2f-f4e3-43bd-9f01-86ba935ffc88	choice-2-variants-7-activities	2	7	45	22	12	67	65
e2527783-c90d-4819-8da7-b014b29f4189	choice-2-variants-7-activities	2	7	45	22	15	73	71
f184895d-e31c-4390-9de2-58890e4cd103	choice-2-variants-7-activities	2	7	45	22	20	83	81
fb8d5a1b-8c84-4226-9c29-3de0e75db5b5	choice-2-variants-7-activities	2	7	45	22	25	88	86
f39d7f6c-924a-48c3-9b3a-360daa5b99a3	choice-2-variants-7-activities	2	7	45	22	30	88	86
42be7af9-1759-462a-89ec-f6a9a1c3d73c	choice-2-variants-7-activities	2	7	45	22	50	88	86
9a8cc1fa-21c3-476d-95ee-308ce82b6b49	choice-2-variants-7-activities	2	7	45	22	100	88	86
20029aba-c644-433b-ab2f-6ef4a2ad5c27	choice-2-variants-7-activities	2	7	45	22	5	53	48
2513ad00-afa7-45b6-85cf-40691e68eef5	choice-2-variants-7-activities	2	7	45	22	7	57	55
541e8be7-8dc6-400a-b80b-c2b80439e1de	choice-2-variants-7-activities	2	7	45	22	10	63	61
33724a93-9935-40a7-95e6-8b93b7e283a3	choice-2-variants-7-activities	2	7	45	22	12	67	65
532e3cc4-e392-4af5-add5-d0f950025c08	choice-2-variants-7-activities	2	7	45	22	15	73	71
dad091b3-4aa5-44ba-8171-0058a996bb19	choice-2-variants-7-activities	2	7	45	22	20	83	81
c4d8e506-a513-4c6c-8bae-7d66e40b061f	choice-2-variants-7-activities	2	7	45	22	25	88	86
7fe42a36-1db1-4e05-9de7-7a9a60848d02	choice-2-variants-7-activities	2	7	45	22	30	88	86
321bb984-6b91-4ef6-8d10-72c7371a5073	choice-2-variants-7-activities	2	7	45	22	50	88	86
3b90b1ed-1802-4f64-bef5-54e97dccd6f1	choice-2-variants-7-activities	2	7	45	22	100	88	86
a18fd70b-9446-4588-937f-da9033a92cef	choice-2-variants-7-activities	2	7	45	22	5	53	48
efef206d-9abc-4500-b4fb-e7c750b4b9dc	choice-2-variants-7-activities	2	7	45	22	7	57	55
33382b47-7f73-4a45-980c-b76169869b25	choice-2-variants-7-activities	2	7	45	22	10	63	61
f5ba840f-3bfc-463d-86bf-1f912947b158	choice-2-variants-7-activities	2	7	45	22	12	67	65
9f03133e-d8f5-4e57-ac56-d298a95f8877	choice-2-variants-7-activities	2	7	45	22	15	73	71
cd6cb0b5-8949-44fb-aa4c-3aefa1e75eae	choice-2-variants-7-activities	2	7	45	22	20	83	81
e95be9d4-878c-48c3-ac21-705545eb959f	choice-2-variants-7-activities	2	7	45	22	25	88	86
c206dd61-68c9-4567-a916-3ac0557faf5e	choice-2-variants-7-activities	2	7	45	22	30	88	86
24432fa4-cf2c-44ca-b67a-10c5316f41db	choice-2-variants-7-activities	2	7	45	22	50	88	86
9c5f93dd-2ea3-499d-a826-04c1ff110a2c	choice-2-variants-7-activities	2	7	45	22	100	88	86
ca8935f1-7f29-4673-83b4-b12dbcfd21ae	choice-2-variants-7-activities	2	7	45	22	5	53	48
cc32c4c6-df07-46ac-8286-c33087c78089	choice-2-variants-7-activities	2	7	45	22	7	57	55
c6b32499-bf19-49d6-916e-9298dc594ca5	choice-2-variants-7-activities	2	7	45	22	10	63	61
008ca101-dc5b-4d36-86bb-9558012a943b	choice-2-variants-7-activities	2	7	45	22	12	67	65
69d054fd-586e-4a06-aec5-063be58cdc02	choice-2-variants-7-activities	2	7	45	22	15	73	71
