ID	Trace Variant (tv) Count	Activities Count	tv Sum	tv Min Size	tv Max Size	tv Average Size	tv Median Size
e88c77cb-2e75-4c41-82a3-5ebfc5b7c0ff	150370	13	862210	4	22	5	7
60e8fd3c-56c5-4781-bdc6-a3043af59c4b	150370	13	862210	4	22	5	7
291c9b8d-a3ef-4ff3-b8d6-f7b365eeb1fb	150370	13	862210	4	22	5	7
9e30436a-1696-480b-b41c-e6a3fac14236	150370	13	862210	4	22	5	7
67bbebc7-8bcf-433a-82aa-a6d5ece0f766	150370	13	862210	4	22	5	7
17f8533d-d1f6-4ff1-85a2-8654b2b0281c	150370	13	862210	4	22	5	7
988a5637-6093-47cf-b318-3c4df85e91aa	4580	12	30500	4	17	6	6
006b1989-7baa-4809-9aa3-bf7abd1cbfa6	4580	12	30500	4	17	6	6
4493a2c3-f0c2-4690-9cfd-fc4d871c6c97	4580	12	30500	4	17	6	6
7d17c99e-a940-4b9b-8c37-a6c773e003b2	4580	12	30500	4	17	6	6
a7224dc6-5c7c-4a19-b132-00c17efb26c2	13087	24	262200	3	175	20	11
c6cb26e5-1eea-4a09-8659-fb69e6ceb756	13087	24	262200	3	175	20	11
60d30891-df32-487f-8390-d3fba57149b8	4580	12	30500	4	17	6	6
6d3f14e3-30d7-4294-ac61-73334ba296ac	13087	24	262200	3	175	20	11
e51ece87-3c75-48d4-8761-64d899d7a0e5	13087	24	262200	3	175	20	11
a8201cd2-435f-41c2-af84-68cf618700a8	13087	24	262200	3	175	20	11
7e0e60ed-ac8e-426e-9e79-0fbe3b3d8b6b	13087	24	262200	3	175	20	11
80489f6e-de2c-48da-bd86-a85071a14416	13087	24	262200	3	175	20	11
d163fb23-805c-49ad-bdcf-9d677dc7186d	100	11	1466	7	37	14	13
c496c5fa-a0c6-4f64-8b17-ae70088a291c	2	7	45	20	25	22	22
672c8ab3-a79d-4fdd-b1fe-60ff0e3b0e91	2	7	45	20	25	22	22
82c0a67d-c96d-468e-bc52-ee32bf97f721	2	7	45	20	25	22	22
8e51c3de-32c8-4d48-b3bb-500d66039c10	2	7	45	20	25	22	22
6117f658-3d04-417a-a179-36c7367fddff	2	7	45	20	25	22	22
